Team,Round,Pick,Player
It be like that,1,1,Bijan Robinson (Atl - RB)
It be like that,2,24,Bucky Irving (TB - RB)
It be like that,3,25,Trey McBride (Ari - TE)
It be like that,4,48,Kyler Murray (Ari - QB)
It be like that,5,49,Jared Goff (Det - QB)
It be like that,6,72,DJ Moore (Chi - WR)
It be like that,7,73,Jameson Williams (Det - WR)
It be like that,8,96,Tyrone Tracy Jr. (NYG - RB)
It be like that,9,97,Jerry Jeudy (Cle - WR)
It be like that,10,120,Pittsburgh (Pit - DEF)
It be like that,11,121,Cameron Dicker (LAC - K)
It be like that,12,144,Wan'Dale Robinson (NYG - WR)
It be like that,13,145,Austin Ekeler (Was - RB)
It be like that,14,168,Tyler Allgeier (Atl - RB)
It be like that,15,169,Joshua Palmer (Buf - WR)
It be like that,16,192,Christian Kirk (Hou - WR)
Purdy Eazy S...,1,2,Ja'Marr Chase (Cin - WR)
Purdy Eazy S...,2,23,Puka Nacua (LAR - WR)
Purdy Eazy S...,3,26,Sam LaPorta (Det - TE)
Purdy Eazy S...,4,47,Breece Hall (NYJ - RB)
Purdy Eazy S...,5,50,Justin Herbert (LAC - QB)
Purdy Eazy S...,6,71,D'Andre Swift (Chi - RB)
Purdy Eazy S...,7,74,Aaron Jones Sr. (Min - RB)
Purdy Eazy S...,8,95,Deebo Samuel (Was - WR)
Purdy Eazy S...,9,98,Jakobi Meyers (LV - WR)
Purdy Eazy S...,10,119,Brandon Aubrey (Dal - K)
Purdy Eazy S...,11,122,Tucker Kraft (GB - TE)
Purdy Eazy S...,12,143,Aaron Rodgers (Pit - QB)
Purdy Eazy S...,13,146,Minnesota (Min - DEF)
Purdy Eazy S...,14,167,Rachaad White (TB - RB)
Purdy Eazy S...,15,170,Najee Harris (LAC - RB)
Purdy Eazy S...,16,191,Deshaun Watson (Cle - QB)
SLAMDUNK,1,3,Josh Allen (Buf - QB)
SLAMDUNK,2,22,Chase Brown (Cin - RB)
SLAMDUNK,3,27,Omarion Hampton (LAC - RB)
SLAMDUNK,4,46,Marvin Harrison Jr. (Ari - WR)
SLAMDUNK,5,51,James Conner (Ari - RB)
SLAMDUNK,6,70,Xavier Worthy (KC - WR)
SLAMDUNK,7,75,Trevor Lawrence (Jax - QB)
SLAMDUNK,8,94,Travis Hunter (Jax - WR)
SLAMDUNK,9,99,Stefon Diggs (NE - WR)
SLAMDUNK,10,118,Khalil Shakir (Buf - WR)
SLAMDUNK,11,123,Baltimore (Bal - DEF)
SLAMDUNK,12,142,Keon Coleman (Buf - WR)
SLAMDUNK,13,147,Kyle Pitts Sr. (Atl - TE)
SLAMDUNK,14,166,Jerome Ford (Cle - RB)
SLAMDUNK,15,171,Jaxson Dart (NYG - QB)
SLAMDUNK,16,190,Jalen Coker (Car - WR)
Uncle Lous z...,1,4,Saquon Barkley (Phi - RB)
Uncle Lous z...,2,21,Josh Jacobs (GB - RB)
Uncle Lous z...,3,28,Baker Mayfield (TB - QB)
Uncle Lous z...,4,45,Brock Purdy (SF - QB)
Uncle Lous z...,5,52,Davante Adams (LAR - WR)
Uncle Lous z...,6,69,Mark Andrews (Bal - TE)
Uncle Lous z...,7,76,Jaylen Waddle (Mia - WR)
Uncle Lous z...,8,93,Denver (Den - DEF)
Uncle Lous z...,9,100,Jauan Jennings (SF - WR)
Uncle Lous z...,10,117,Jayden Reed (GB - WR)
Uncle Lous z...,11,124,Cam Skattebo (NYG - RB)
Uncle Lous z...,12,141,Sam Darnold (Sea - QB)
Uncle Lous z...,13,148,Keenan Allen (LAC - WR)
Uncle Lous z...,14,165,Wil Lutz (Den - K)
Uncle Lous z...,15,172,Rashod Bateman (Bal - WR)
Uncle Lous z...,16,189,Hunter Henry (NE - TE)
Coach Mode R...,1,5,Jayden Daniels (Was - QB)
Coach Mode R...,2,20,Jonathan Taylor (Ind - RB)
Coach Mode R...,3,29,Tyreek Hill (Mia - WR)
Coach Mode R...,4,44,Mike Evans (TB - WR)
Coach Mode R...,5,53,Garrett Wilson (NYJ - WR)
Coach Mode R...,6,68,David Montgomery (Det - RB)
Coach Mode R...,7,77,Geno Smith (LV - QB)
Coach Mode R...,8,92,Matthew Stafford (LAR - QB)
Coach Mode R...,9,101,Rashee Rice (KC - WR)
Coach Mode R...,10,116,Nick Chubb (Hou - RB)
Coach Mode R...,11,125,Joe Mixon (Hou - RB)
Coach Mode R...,12,140,Joe Flacco (Cle - QB)
Coach Mode R...,13,149,Dalton Kincaid (Buf - TE)
Coach Mode R...,14,164,Adam Thielen (Min - WR)
Coach Mode R...,15,173,San Francisco (SF - DEF)
Coach Mode R...,16,188,Will Reichard (Min - K)
Kimochi Inc.,1,6,Lamar Jackson (Bal - QB)
Kimochi Inc.,2,19,Nico Collins (Hou - WR)
Kimochi Inc.,3,30,Brock Bowers (LV - TE)
Kimochi Inc.,4,43,Kenneth Walker III (Sea - RB)
Kimochi Inc.,5,54,Drake Maye (NE - QB)
Kimochi Inc.,6,67,Tetairoa McMillan (Car - WR)
Kimochi Inc.,7,78,Calvin Ridley (Ten - WR)
Kimochi Inc.,8,91,Jordan Mason (Min - RB)
Kimochi Inc.,9,102,Braelon Allen (NYJ - RB)
Kimochi Inc.,10,115,Josh Downs (Ind - WR)
Kimochi Inc.,11,126,Rhamondre Stevenson (NE - RB)
Kimochi Inc.,12,139,Darnell Mooney (Atl - WR)
Kimochi Inc.,13,150,Colston Loveland (Chi - TE)
Kimochi Inc.,14,163,Isaac Guerendo (SF - RB)
Kimochi Inc.,15,174,Evan McPherson (Cin - K)
Kimochi Inc.,16,187,Los Angeles (LAC - DEF)
Local sports...,1,7,Jalen Hurts (Phi - QB)
Local sports...,2,18,De'Von Achane (Mia - RB)
Local sports...,3,31,Brian Thomas Jr. (Jax - WR)
Local sports...,4,42,George Kittle (SF - TE)
Local sports...,5,55,Dak Prescott (Dal - QB)
Local sports...,6,66,Isiah Pacheco (KC - RB)
Local sports...,7,79,Courtland Sutton (Den - WR)
Local sports...,8,90,Matthew Golden (GB - WR)
Local sports...,9,103,Zach Charbonnet (Sea - RB)
Local sports...,10,114,Jacory Croskey-Merritt (Was - RB)
Local sports...,11,127,Cam Ward (Ten - QB)
Local sports...,12,138,Cooper Kupp (Sea - WR)
Local sports...,13,151,Luther Burden III (Chi - WR)
Local sports...,14,162,Brandon Aiyuk (SF - WR)
Local sports...,15,175,Kansas City (KC - DEF)
Local sports...,16,186,Chris Boswell (Pit - K)
Zero Dark Purdy,1,8,Amon-Ra St. Brown (Det - WR)
Zero Dark Purdy,2,17,Patrick Mahomes (KC - QB)
Zero Dark Purdy,3,32,Drake London (Atl - WR)
Zero Dark Purdy,4,41,Kyren Williams (LAR - RB)
Zero Dark Purdy,5,56,TreVeyon Henderson (NE - RB)
Zero Dark Purdy,6,65,Tony Pollard (Ten - RB)
Zero Dark Purdy,7,80,Ricky Pearsall (SF - WR)
Zero Dark Purdy,8,89,Rome Odunze (Chi - WR)
Zero Dark Purdy,9,104,David Njoku (Cle - TE)
Zero Dark Purdy,10,113,Bhayshul Tuten (Jax - RB)
Zero Dark Purdy,11,128,Michael Pittman Jr. (Ind - WR)
Zero Dark Purdy,12,137,Rashid Shaheed (NO - WR)
Zero Dark Purdy,13,152,Buffalo (Buf - DEF)
Zero Dark Purdy,14,161,Shedeur Sanders (Cle - QB)
Zero Dark Purdy,15,176,Ka'imi Fairbairn (Hou - K)
Zero Dark Purdy,16,185,Ollie Gordon II (Mia - RB)
Rush Mode Th...,1,9,Jahmyr Gibbs (Det - RB)
Rush Mode Th...,2,16,Derrick Henry (Bal - RB)
Rush Mode Th...,3,33,A.J. Brown (Phi - WR)
Rush Mode Th...,4,40,Ladd McConkey (LAC - WR)
Rush Mode Th...,5,57,Terry McLaurin (Was - WR)
Rush Mode Th...,6,64,George Pickens (Dal - WR)
Rush Mode Th...,7,81,T.J. Hockenson (Min - TE)
Rush Mode Th...,8,88,Jaylen Warren (Pit - RB)
Rush Mode Th...,9,105,Michael Penix Jr. (Atl - QB)
Rush Mode Th...,10,112,Justin Fields (NYJ - QB)
Rush Mode Th...,11,129,J.K. Dobbins (Den - RB)
Rush Mode Th...,12,136,Tank Bigsby (Jax - RB)
Rush Mode Th...,13,153,Chris Godwin Jr. (TB - WR)
Rush Mode Th...,14,160,Dallas Goedert (Phi - TE)
Rush Mode Th...,15,177,Detroit (Det - DEF)
Rush Mode Th...,16,184,Tyler Bass (Buf - K)
All Barkley ...,1,10,Joe Burrow (Cin - QB)
All Barkley ...,2,15,Malik Nabers (NYG - WR)
All Barkley ...,3,34,Chuba Hubbard (Car - RB)
All Barkley ...,4,39,Alvin Kamara (NO - RB)
All Barkley ...,5,58,DeVonta Smith (Phi - WR)
All Barkley ...,6,63,J.J. McCarthy (Min - QB)
All Barkley ...,7,82,Travis Etienne Jr. (Jax - RB)
All Barkley ...,8,87,Emeka Egbuka (TB - WR)
All Barkley ...,9,106,Philadelphia (Phi - DEF)
All Barkley ...,10,111,Jake Ferguson (Dal - TE)
All Barkley ...,11,130,Quinshon Judkins (Cle - RB)
All Barkley ...,12,135,Jayden Higgins (Hou - WR)
All Barkley ...,13,154,Xavier Legette (Car - WR)
All Barkley ...,14,159,Trey Benson (Ari - RB)
All Barkley ...,15,178,Rico Dowdle (Car - RB)
All Barkley ...,16,183,Cam Little (Jax - K)
Modelos & TDs,1,11,CeeDee Lamb (Dal - WR)
Modelos & TDs,2,14,Christian McCaffrey (SF - RB)
Modelos & TDs,3,35,Bo Nix (Den - QB)
Modelos & TDs,4,38,Jaxon Smith-Njigba (Sea - WR)
Modelos & TDs,5,59,DK Metcalf (Pit - WR)
Modelos & TDs,6,62,RJ Harvey (Den - RB)
Modelos & TDs,7,83,Travis Kelce (KC - TE)
Modelos & TDs,8,86,Kaleb Johnson (Pit - RB)
Modelos & TDs,9,107,Evan Engram (Den - TE)
Modelos & TDs,10,110,Tua Tagovailoa (Mia - QB)
Modelos & TDs,11,131,Brian Robinson Jr. (SF - RB)
Modelos & TDs,12,134,Bryce Young (Car - QB)
Modelos & TDs,13,155,Jake Bates (Det - K)
Modelos & TDs,14,158,Houston (Hou - DEF)
Modelos & TDs,15,179,Dylan Sampson (Cle - RB)
Modelos & TDs,16,182,Russell Wilson (NYG - QB)
COACH SONNEIBO,1,12,Justin Jefferson (Min - WR)
COACH SONNEIBO,2,13,Ashton Jeanty (LV - RB)
COACH SONNEIBO,3,36,Tee Higgins (Cin - WR)
COACH SONNEIBO,4,37,James Cook (Buf - RB)
COACH SONNEIBO,5,60,Jordan Love (GB - QB)
COACH SONNEIBO,6,61,C.J. Stroud (Hou - QB)
COACH SONNEIBO,7,84,Chris Olave (NO - WR)
COACH SONNEIBO,8,85,Zay Flowers (Bal - WR)
COACH SONNEIBO,9,108,Jordan Addison (Min - WR)
COACH SONNEIBO,10,109,Caleb Williams (Chi - QB)
COACH SONNEIBO,11,132,Tyler Warren (Ind - TE)
COACH SONNEIBO,12,133,Javonte Williams (Dal - RB)
COACH SONNEIBO,13,156,Jaydon Blue (Dal - RB)
COACH SONNEIBO,14,157,Ray Davis (Buf - RB)
COACH SONNEIBO,15,180,Green Bay (GB - DEF)
COACH SONNEIBO,16,181,Matt Gay (Was - K)
